County / Sub-County,Conventional Households,"Stand - alone
Radio","Desk Top
Computer/
Laptop/ Tablet","Functional
Television","Analogue
Television",Internet ,Bicycle, Motor Cycle ,Refrigerator, Car,"Truck/ Lorry/
Bus/ Three
Wheeler truck",Tuk Tuk
LOWER YATTA,15021,60.6,2.6,16.1,2.3,4.6,26.8,14,1.4,3.5,1,0.9
MATINYANI,11497,60.7,3.4,25.7,3.1,4.7,23.3,14.9,2.8,3.9,0.6,0.8
MIGWANI,18843,65.2,3.6,25.9,4.1,7.2,36.2,16.2,2.3,5.2,0.9,0.4
MUMONI,6451,47.9,2.1,12.2,2.2,3.4,11.5,12.6,0.8,2.6,0.6,0.4
MUTITU,11490,55.4,1.5,9.3,1.2,3.3,13.3,10.9,1,2.1,0.5,0.7
MUTITU NORTH,4929,57.2,2.5,13.1,3,3.4,26.2,15.1,2,2.6,0.4,0.7
MUTOMO,23034,52.1,2.5,10.4,1.9,5.5,24.3,13,1,2.1,0.6,0.5
MWINGI CENTRAL,26745,54.1,4.5,24.7,3.7,8,17.6,13.2,3.7,4.6,0.8,0.5
MWINGI EAST,18725,50.7,1.8,11,1.5,4.6,16.6,11.7,1.2,2.4,0.7,0.5
NZAMBANI,11276,55.4,4,22,3.4,5.7,16.1,11,3.9,4.2,0.7,0.5
THAGICU,3289,54.8,1.2,8.2,1.3,3.6,9.1,13.5,0.3,1.6,0.3,0.2
TSEIKURU,8449,42.8,1.3,9.1,1.5,2.5,17,11.2,1,1.9,0.4,0.4
MACHAKOS,399523,63.1,9.4,42.6,5.3,17.6,19.7,9.8,9.4,8.7,1.1,0.5
ATHI RIVER,109723,57.7,20,61.4,7.3,35.7,15.8,7,21.5,16.6,1.6,0.6
KALAMA,14137,72.1,3.1,29.4,4.6,7.2,9.4,7.3,3,4.7,1.2,0.4
KANGUNDO,26115,68.6,4.1,38,5.5,8.5,18.5,11.5,4.3,5.3,0.9,0.2
KATHIANI,28730,63.4,3.4,31.7,4.6,6.6,9.1,7.6,2.7,4.1,0.7,0.3
MACHAKOS,50753,56.5,12.4,53.8,5.7,24.1,12,7.5,11.5,8.8,1.1,0.7
MASINGA,36196,65.7,3.1,26.1,3.9,5.7,27.3,14,1.8,4.5,1,0.7
MATUNGULU,44399,63.2,6.5,43.5,6.1,12.9,25.9,12.7,7.1,7.1,1.2,0.3
MWALA,45809,70.3,2.9,24.4,3.1,7.3,25.7,10.4,2.3,4.8,0.7,0.4
YATTA,43661,68.3,3.3,28.6,3.2,6.5,31,13.3,2.4,4.2,0.9,0.5
MAKUENI,243979,62.7,4,24.5,4,9.4,29.9,14.2,2.5,4.5,0.9,0.4
KATHONZWENI,18362,64.3,2.6,16.7,2,6.4,39.2,16.1,0.8,4.2,0.7,0.4
KIBWEZI,47594,59.2,3.6,24.9,4.3,8.7,52.1,17.5,2.6,4,0.8,0.6
KILUNGU,14563,63.8,3.3,23,3.5,6.7,8.2,8.9,1.5,3.7,0.7,0.3
MAKINDU,21662,56.8,4.6,29.8,4.6,10.6,52.5,18.9,4.2,4.5,1,0.6
MAKUENI,34352,63.6,7.1,29.8,4.8,16.7,20,12.7,4,6.5,0.9,0.4
MBOONI EAST,23724,67.4,2.9,18.2,3,5.5,23.6,12.6,1.3,4.3,0.7,0.3
MBOONI WEST,24807,65.9,3.1,22.2,3.5,7.8,10.3,9.6,1.4,3.9,0.7,0.3
MUKAA,28109,63.3,3.9,26.7,4.5,8,16.1,12.2,3.1,5,1.1,0.4
NZAUI,30806,63.4,3.8,24,4.1,10.3,29,15.8,2.2,4.1,0.9,0.5
NYANDARUA,178224,72.4,4.6,48.9,5.2,12.4,20.3,11.2,2.2,5.4,1.2,0.3
KINANGOP,30847,74.2,3.9,51.3,5.2,11.3,23.8,10.7,1.4,5.4,1.8,0.2
NYANDARUA SOUTH,25650,75,4.8,51.8,5.2,11.9,25,11,1.8,5.8,1.3,0.3
MIRANGINE,17880,74.6,2.5,43.1,4,7,12.3,11.2,1.1,3.5,0.7,0.2
KIPIPIRI,25077,74.3,2.7,41.4,6,6.9,17.9,9.4,1,4.1,1,0.3
NYANDARUA CENTRAI.,21852,68.6,7.4,51.9,4.7,17,18.9,11.4,4.4,6.7,1.1,0.3
NYANDARUA WEST,29003,63.7,6,52.7,4.6,16.7,19,11.6,3.3,6.3,0.9,0.4
NYANDARUA NORTH,27906,76.7,4.5,47.6,6,14.3,22.1,13.2,2.3,5.6,1,0.2
ABERDARE NATIONAL,AR K    9,88.9,44.4,66.7,11.1,88.9,33.3,22.2,11.1,33.3,,
NYERI,244564,74.3,8.6,59.5,5.5,21.2,11.7,8.8,7.2,7.7,1,0.3
TETU,24122,78,5.4,62.7,6,16.8,9.9,7.7,5.7,6.8,0.7,0.3
KIENI EAST,36751,72.3,7.3,56.4,7.3,21.2,18.1,12.3,5.8,8,1.2,0.4
KIENI WEST,27530,77.2,4.2,48,6.1,11.4,7.5,10,2.7,5.9,1,0.3
MATHIRA EAST,33945,74.4,9.5,61.3,5,22.2,13.5,8.8,7,7.1,0.9,0.3
MATHIRA WEST,18892,72.8,5.4,59.2,6.7,16.2,15.5,8.5,5.9,6.9,0.9,0.3
NYERI SOUTH,28103,75,5.9,62.5,3.7,16.6,6.7,9.8,5.4,6.1,0.6,0.3
MUKURWE-INI,27036,75.9,4.8,52.1,3.8,13.2,8.9,8.3,3.9,5.6,0.7,0.4
NYERI CENTRAL,48036,71.7,18,68.1,5.4,37.4,11.9,5.7,15.4,11.7,1.2,0.3
MT. KENYA FOREST,101,73.3,8.9,28.7,3,33.7,3,6.9,1,5,,
ABERDARE FOREST,48,64.6,20.8,68.8,,,,2.1,,4.2,,
KIRINYAGA,203576,66.6,5.9,54,4.9,13.6,21.1,14.6,5.5,6,0.9,0.5
KIRINYAGA CENTRAL,40149,69.6,9.1,61,5.1,20.7,16.6,13.2,7.8,8.4,1,0.5
KIRINYAGA EAST,44509,68.9,4.9,54.6,5.6,10.9,15.1,14.5,4.2,6.7,0.9,0.4
KIRINYAGA WEST,37951,67.6,6,53,4.7,14.3,18.2,13.1,5.6,5.7,0.9,0.4
MWEA EAST,46331,62,5.7,50.7,4,12.6,23.7,15.2,5.9,5.2,0.9,0.4
MWEA WEST,34613,65.2,3.9,50.7,5.4,9.1,34,17.5,3.8,3.9,0.8,0.6
MT. KENYA FOREST,23,73.9,17.4,30.4,4.3,26.1,4.3,13,,8.7,,
MURANG'A,317496,70.7,4.9,47.9,3.2,11.9,12.1,8.5,4.7,5,0.9,0.3
MURANG'A EAST,34650,69.7,9.8,50.6,3.7,21.7,11.1,7.8,10,7.1,1.1,0.4
KANGEMA,25283,75,3.4,46.1,3,9.6,3.2,6,2.7,3.9,0.5,0.3
MATHIOYA,28372,72,3.4,45.2,2.7,8,4.1,6.4,3,4.3,0.6,0.3
KAHURO,26778,75.1,3.2,45.5,2.8,10.4,4.2,5.9,3.4,3.8,0.8,0.2
MURANG'A SOUTH,55878,69.7,6,47.7,3.8,14.1,21.9,11.5,6,5.6,0.9,0.3
GATANGA,55340,67.9,5.2,49.6,3.4,13.4,16.4,9.4,5.1,6.1,1.2,0.3
KIGUMO,40528,72.1,3,43.8,2.6,7.4,7,7.6,2.3,4.2,0.7,0.3
KANDARA,50657,69.2,3.7,51.4,3.3,9.1,14.3,9.1,4,4.2,1,0.3
ABERDARE FOREST,10,70,20,40,,,10,,10,,,
KIAMBU,792333,61.4,19.6,70,6.3,39.1,16.3,6.9,19.6,12.4,1.5,0.5
GATUNDU NORTH,31452,70.6,4.7,61.9,3.7,12.8,10.9,8.8,5.2,6.3,1.3,0.3
GATUNDU SOUTH,35577,72.3,4.8,67.9,4.3,12.1,13.7,9.8,6.2,6.5,1.1,0.3
GITHUNGURI,49414,68.2,7.3,68.6,3.6,18.7,16.9,8.7,9.3,8.5,1.6,0.3
JUJA,104042,53,23.9,67.4,6.7,44.8,20.5,8.8,20.3,13.5,1.6,0.6
KABETE,66681,64.3,23.7,74,6,45.2,14.2,4.8,24.4,12.7,1.3,0.3
KIAMBAA,80316,61.8,22.1,71,7.2,42.1,13.1,4.4,24.5,13.1,1.2,0.5
KIAMBU,46816,61.2,28.4,73.8,7,49.7,19.2,5,32.2,21.1,2.3,0.5
KIKUYU,60619,69.3,27.2,75.8,7.5,46.8,19.2,7,29.1,17.3,1.7,0.4
LARI,38585,67.6,6.4,62.8,3.9,16.9,12.1,9.1,5.4,6.9,1.4,0.3
LIMURU,49096,69,12.6,67.9,5.1,29.2,14.1,6.5,12.7,9.8,1.4,0.4
RUIRU,127910,53.8,24.6,73.3,7.9,49.9,16.8,6.1,23.3,14,1.6,0.6
THIKA EAST,12736,51.4,8.5,54.4,4.5,23.7,20.7,9.9,10.1,8,1.3,0.4
THIKA WEST,89089,57.1,21.5,69.3,7.1,48,17.1,6.2,19.5,11.5,1.4,0.9
TURKANA,162627,12.1,2.1,7.4,0.9,4.4,4.2,4.8,1.9,1.3,0.4,0.4
KIBISH,5699,3.1,0.5,1.2,0.4,0.8,0.4,1.3,0.1,0.4,0.2,0.4
